29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
09 Nov 2018,Not worth for money which you have paid . Over priced,2.0 ,Ravi
02 Dec 2018,Awesome product,4.0 ,Suyogp60
18 Oct 2018,Good... Just one disadvantage,5.0 ,gaurav rawat
16 May 2019,Just go for it,5.0 ,Chandan
20 Oct 2018,Superb quality,5.0 ,Harsh
25 Feb 2019,Nice product ..good battery life,5.0 ,SANTANU
19 Aug 2019,CLIP3 - PAISA VASOOL,5.0 ,Arnold
14 Dec 2018,Awesome product love it - super quality of audio in this tiny piece of product,5.0 ,Nirmal
29 Oct 2018,Fantastic speaker better than UE wonderboom,5.0 ,Munish Kumar
26 Oct 2019,CLASSY SPEAKER,5.0 ,Kuruvila
